,course,url
0,솔리디티,https://www.inflearn.com/course/솔리디티-스마트-컨트랙
1,"디자이너, Lottie, 완벽, 이해",https://www.inflearn.com/course/로티-디자이너-스킬업
2,"게임 개발, Azure, CDN",https://www.inflearn.com/course/azure-cdn-게임개발
3,"Python, 입문자",https://www.inflearn.com/course/파이썬-입문자
4,"취업, 게임기획",https://www.inflearn.com/course/게임기획-취업
5,"공공데이터, Folium, Python, Library, 지도, 안내, 서비스",https://www.inflearn.com/course/파이썬-폴리움-지도서비스
6,"C#, 유니티, MMORPG, 게임 개발, 시리즈, MMO, 구현, Unity, C#, 서버, 연동, 기초",https://www.inflearn.com/course/유니티-mmorpg-개발-part7
7,"면접, 개발자, 이력서, 쓰기",https://www.inflearn.com/course/면접-개발자-이력서
8,"유니티, 에디터, 프로그래밍",https://www.inflearn.com/course/유니티-에디터-프로그래밍
9,"실전, 웹사이트, 제작, 포메인, 풀페이지, 사이트, 제작",https://www.inflearn.com/course/웹사이트-포메인-풀페이지사이트
10,"Redux, MobX, 둘",https://www.inflearn.com/course/redux-mobx-상태관리-도구
11,LeNet,https://www.inflearn.com/course/데이터사이언스-딥러닝-lenet
12,"해커, iOS, 앱, 해킹, 전문",https://www.inflearn.com/course/ios-모바일앱-모의해킹-입문
13,"실전, 웹사이트, 제작, 대방, 산업",https://www.inflearn.com/course/실전-웹사이트제작-대방산업-interativeweb
14,"그림, 운영체제",https://www.inflearn.com/course/비전공자-운영체제
15,"미국, 데이터, 분석, 필수, 솔루션, 알터릭스, 자격증",https://www.inflearn.com/course/초보자를-위한-알터릭스
16,"유니티, 기초, 기획, 사용",https://www.inflearn.com/course/유니티-기초-강좌-기획부터-사용까지-2
17,"그림, 쿠버네티스",https://www.inflearn.com/course/그림으로-배우는-쿠버네티스
18,"WEB2, JavaScript",https://www.inflearn.com/course/web2-javascript
19,"파이썬, 무료, 활용편, 이미지 처리",https://www.inflearn.com/course/나도코딩-이미지처리
20,"UI, Swift, 기초, 편",https://www.inflearn.com/course/ui-swift-기초
21,"네트워크, 패킷, 분석, 입문, 및, 악성코드, 분석",https://www.inflearn.com/course/네트워크-패킷-분석-입문-및-악성코드-샘플-분석
22,"로블록스, 검, 전투, 게임",https://www.inflearn.com/course/로블록스-검-전투게임
23,"JAVA, 플레이그라운드",https://www.inflearn.com/course/java-codesquad
24,"딥러닝, 컴퓨터 비전, 완벽, 가이드",https://www.inflearn.com/course/딥러닝-컴퓨터비전-완벽가이드
25,"게임, 스크래치, 프로그래밍",https://www.inflearn.com/course/스크래치-scratch
26,"C#, 로그인, 앱, 구현, Xamarin, 자마린 폼즈, 안드로이드, 윈도우",https://www.inflearn.com/course/자마린-폼즈-앱
27,"웹개발, 스프링 프레임워크, 전자정부 표준프레임워크",https://www.inflearn.com/course/웹개발-코스-스프링-전자정부
28,"C#, 유니티, 실전, 게임, 시작",https://www.inflearn.com/course/c-sharp-기초-문법-유니티
29,"웹 사이트, 제작, 웹, 보안, 원",https://www.inflearn.com/course/웹보안-안전-원포인트
30,"핵심, 입문자, 파이썬, 판다스",https://www.inflearn.com/course/핵심-입문자-파이썬-판다스
31,"개발, 능력, 없이, 개발자, 취업",https://www.inflearn.com/course/비전공자-sw-개발자-취업
32,"ISMS-P, 인증심사원, 자격검정, 기본, 실무, 시리즈, T4, 개인정보보호, 법규, 개정",https://www.inflearn.com/course/isms-p-인증심사원-6
33,"비즈니스 애널리틱스, 데이터, 기반, 실적, 개선, 프로젝트, 실무, 마스터, 클래스",https://www.inflearn.com/course/데이터-실적개선-실무
34,"딥러닝, Deep, Reinforcement, Learning",https://www.inflearn.com/course/reinforcement-learning
